Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,
1676.06,509.8384,0,
1667.426,549.3181,0,
1681.04,488.0224,0,
1729.433,470.4789,0,
1714.909,616.6314,0,
1649.938,567.7363,0,
1672.654,550.8649,0,
1684.667,560.8885,0,
1683.949,526.7233,0,
1671.162,562.194,0,
1630.636,545.6239,0,
1660.29,616.5779,0,
1649.067,523.8231,0,
1696.417,546.4369,0,
1671.545,487.7244,0,
1698.868,573.6599,0,
1650.285,538.2055,0,
1769.268,506.5016,0,
1718.072,552.355,0,
1697.548,515.8497,0,
1730.497,569.8605,0,
1721.718,557.2313,0,
1669.798,508.3636,0,
1710.422,507.1086,0,
1661.587,543.4227,0,
1653.029,520.7143,0,
1647.45,545.0672,0,
1719.661,535.8939,0,
1699.247,608.5578,0,
1622.615,553.2975,0,
1682.96,555.0981,0,
1706.875,575.5673,0,
1640.168,501.6749,0,
1582.203,617.8672,0,
1663.369,543.6706,0,
1567.591,487.2777,0,
1688.809,532.0571,0,
1672.854,575.3246,0,
1610.677,510.2499,0,
1675.808,584.4242,0,
1663.331,498.5681,0,
1668.214,531.053,0,
1641.101,494.9727,0,
1635.033,538.1921,0,
1739.825,551.7941,0,
1678.384,546.6931,0,
1672.396,563.7166,0,
1814.99,567.2879,0,
1663.972,605.6562,0,
1694.247,564.957,0,
1666.092,532.0954,0,
1507.367,467.2162,0,
1723.852,585.3204,0,
1676.643,558.0132,0,
1755.518,505.9159,0,
1750.419,501.9161,0,
1571.914,541.3629,0,
1716.964,548.9009,0,
1626.325,480.7591,0,
1771.807,533.8232,0,
1647.361,546.1664,0,
1790.735,540.2634,0,
1656.597,528.9285,0,
1648.838,503.2852,0,
1666.663,596.7924,0,
1662.557,542.5596,0,
1503.206,472.2668,0,
1681.58,605.0636,0,
1721.775,512.9251,0,
1719.153,523.02,0,
1672.363,536.835,0,
1639.032,580.0475,0,
1661.629,570.3793,0,
1730.593,529.7524,0,
1642.164,512.3929,0,
1768.675,523.6375,0,
1611.301,594.4971,0,
1603.555,558.8222,0,
1721.301,532.0146,0,
1652.897,552.944,0,
1648.023,539.0347,0,
1725.399,537.8914,0,
1474.92,435.0834,0,
1764.585,557.0064,0,
1743.599,546.3509,0,
1634.786,491.4654,0,
