Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,
1839.297,636.6359,0,
1934.123,548.592,0,
1866.795,534.808,0,
1925.102,506.835,0,
1752.466,490.7271,0,
1759.79,515.5184,0,
1857.956,445.3162,0,
1948.843,525.9534,0,
1877.069,499.2527,0,
1934.836,480.5659,0,
1890.674,506.4581,0,
1934.297,518.4524,0,
1859.299,518.4771,0,
1897.702,494.951,0,
1874.002,527.3361,0,
1936.941,511.3713,0,
1992.247,597.7399,0,
2009.483,584.6375,0,
1763.238,498.4036,0,
1968.634,506.287,0,
1733.37,483.9189,0,
1849.763,468.0814,0,
1836.595,576.3084,0,
1817.796,494.265,0,
1854.993,486.0468,0,
1884.614,511.0814,0,
2045.802,520.4863,0,
1815.276,478.2717,0,
1955.953,583.1239,0,
1927.522,542.0111,0,
1916.35,480.7136,0,
1964.977,527.9921,0,
1888.586,514.5358,0,
1842.56,512.1729,0,
1925.292,487.6667,0,
1787.952,508.947,0,
2043.571,497.3687,0,
2064.969,553.0469,0,
1754.586,524.3322,0,
1930.788,516.2094,0,
1772.667,415.9406,0,
1937.082,557.2733,0,
1819.588,501.8596,0,
1862.899,540.978,0,
1842.886,554.5579,0,
1985.937,482.9045,0,
1816.36,532.4659,0,
1981.747,538.6873,0,
1859.167,518.153,0,
1799.875,527.6918,0,
1833.811,567.9281,0,
1834.761,467.9167,0,
1802.54,540.1577,0,
1890.798,578.5181,0,
1810.305,539.8871,0,
1927.602,493.8331,0,
1947.553,577.1898,0,
1786.954,529.8836,0,
1835.041,481.9965,0,
1927.691,504.4566,0,
1912.859,539.084,0,
1952.513,583.967,0,
1785.814,494.5884,0,
1999.303,471.2407,0,
1892.49,591.7952,0,
1822.202,540.8972,0,
1901.664,533.191,0,
1806.74,513.1215,0,
1906.853,523.0916,0,
1934.346,585.2202,0,
1797.676,525.6175,0,
1864.606,468.3397,0,
1885.755,505.9819,0,
1794.5,553.9887,0,
1814.124,476.1531,0,
1962.559,457.6266,0,
1978.85,543.1809,0,
1817.803,578.4669,0,
1966.626,522.9981,0,
1920.61,535.5219,0,
1875.718,552.4151,0,
1893.666,516.2264,0,
1801.546,531.7181,0,
1936.278,520.5757,0,
1845.321,533.2401,0,
1776.802,508.3708,0,
1822.944,564.6086,0,
1969.313,474.1432,0,
1721.267,491.3021,0,
1824.277,543.1536,0,
1793.692,545.9059,0,
1997.609,547.7991,0,
1844.04,548.22,0,
1951.207,539.6292,0,
1891.663,544.6834,0,
1856.904,578.86,0,
1864.883,555.6782,0,
1761.733,530.5024,0,
1885.216,543.6241,0,
1932.652,563.9616,0,
1810.873,565.2364,0,
1921.141,530.3298,0,
1860.114,517.4236,0,
1874.11,531.1171,0,
1902.912,535.6665,0,
1841.741,568.5498,0,
1806.565,493.5496,0,
1915.358,551.9747,0,
1798.322,494.753,0,
1712.644,491.9412,0,
1947.542,491.0441,0,
1950.672,600.0708,0,
1905.388,594.1644,0,
1770.151,569.9792,0,
1909.353,456.2014,0,
1865.413,543.3532,0,
2017.568,510.8337,0,
1996.519,520.3708,0,
1990.512,482.4323,0,
2020.156,531.2744,0,
1809.941,546.1448,0,
1846.623,560.3875,0,
1848.452,536.3625,0,
1919.204,511.2307,0,
1887.583,564.9991,0,
1939.243,549.1005,0,
1731.796,471.5508,0,
1919.396,549.3407,0,
1781.968,474.2113,0,
1954.943,567.8946,0,
1996.024,563.9984,0,
1961.013,533.1051,0,
1944.01,535.8116,0,
1879.393,492.1199,0,
1801.822,501.5409,0,
1990.923,507.1755,0,
1989.855,483.6014,0,
1836.365,516.2401,0,
1885.855,542.1919,0,
2049.49,507.3308,0,
1806.121,504.6817,0,
1993.701,529.3426,0,
1877.162,553.3119,0,
1772.763,503.0278,0,
1766.109,484.8467,0,
1723.808,540.2529,0,
1785.883,481.9316,0,
1910.769,477.251,0,
1864.999,598.8011,0,
1784.31,509.1465,0,
1868.069,480.4318,0,
1926.395,553.9369,0,
2009.872,544.6563,0,
1875.975,519.7967,0,
1941.354,507.8983,0,
1852.886,499.8857,0,
1898.541,504.8104,0,
1927.78,548.5612,0,
1675.507,462.8191,0,
2000.896,565.8643,0,
1932.328,544.4122,0,
1825.945,474.3936,0,
1799.836,494.8441,0,
1741.465,545.0433,0,
1753.068,504.3467,0,
1867.156,554.5458,0,
2002.479,519.0744,0,
1845.097,559.6372,0,
1945.741,464.6458,0,
1847.51,539.5323,0,
2029.488,553.5407,0,
1926.224,521.6129,0,
1883.857,547.6323,0,
1876.567,492.9215,0,
1930.796,498.5754,0,
