Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1,
1920.957,516.2654,0,
1789.54,463.3251,0,
1856.481,508.5611,0,
1888.355,506.3533,0,
1811.011,492.7969,0,
1816.747,468.3029,0,
1894.708,517.3344,0,
1787.471,484.6055,0,
1984.899,510.6807,0,
1952.279,438.5682,0,
1756.191,539.0431,0,
1778.589,573.9055,0,
1814.078,497.4127,0,
1794.406,480.7313,0,
1797.049,453.9856,0,
1877.409,556.5351,0,
5914.938,489.4407,1,
1952.228,497.0196,0,
1806.833,459.2968,0,
1893.659,473.269,0,
1764.679,504.8609,0,
1808.591,499.15,0,
1949.462,508.4129,0,
1763.405,535.1709,0,
1782.913,486.6413,0,
1748.892,475.8254,0,
1775.309,504.4694,0,
6135.46,505.3267,1,
1818.759,494.9492,0,
1732.085,551.6079,0,
1729.12,484.7922,0,
1756.021,459.2144,0,
1867.288,507.0341,0,
1712.299,481.2326,0,
1722.842,572.9923,0,
1815.687,488.2615,0,
1870.076,531.2281,0,
1718.895,521.2381,0,
1739.019,450.9855,0,
1664.557,476.7551,0,
1692.469,517.1026,0,
1775.288,515.6513,0,
1790.582,548.9372,0,
1769.355,522.7462,0,
1799.295,522.8912,0,
1683.339,552.9897,0,
1718.521,496.2025,0,
1950.879,503.4052,0,
1713.532,511.5991,0,
1942.262,550.7256,0,
1783.916,455.5472,0,
1810.378,452.6365,0,
1949.902,503.013,0,
1739.276,539.7128,0,
1810.216,474.1513,0,
1881.898,558.8728,0,
1812.482,516.8933,0,
1784.664,541.2199,0,
1808.719,587.3283,0,
1903.816,486.6935,0,
1763.487,487.6708,0,
1797.106,473.1087,0,
1919.299,569.8666,0,
1745.287,471.4324,0,
1958.59,492.664,0,
1989.858,557.7362,0,
1723.13,477.7137,0,
1752.249,519.1807,0,
1864.195,520.4999,0,
1835.26,505.1619,0,
1774.902,497.2576,0,
1919.554,536.9161,0,
1685.832,497.7223,0,
1981.98,461.1595,0,
1895.654,553.397,0,
1683.677,448.5698,0,
1852.588,479.2973,0,
1796.923,507.7209,0,
1929.934,463.1408,0,
1709.22,512.6761,0,
1964.479,466.8058,0,
1770.113,476.4102,0,
1826.823,523.814,0,
1807.664,533.5099,0,
1907.68,474.8537,0,
1783.507,441.9035,0,
1904.548,463.5764,0,
1837.761,517.1758,0,
1881.931,496.894,0,
1736.453,534.6332,0,
1804.52,542.7251,0,
1775.07,448.6854,0,
1766.419,466.0325,0,
1767.883,534.5173,0,
1842.36,493.5197,0,
1757.43,487.6105,0,
1761.278,480.6168,0,
1882.01,507.8321,0,
1767.959,546.3809,0,
1867.66,540.3549,0,
1802.413,496.1245,0,
1780.799,470.276,0,
1718.102,496.4584,0,
1762.125,516.9514,0,
1766.87,461.9513,0,
1764.744,511.494,0,
1803.18,476.7004,0,
1710.284,482.3284,0,
1882.866,489.0714,0,
1891.246,525.8708,0,
1815.125,521.3819,0,
1754.25,499.7776,0,
1777.443,531.2101,0,
1886.984,470.7949,0,
1746.39,473.7905,0,
1734.118,515.3334,0,
1907.481,503.6638,0,
1785.995,553.8574,0,
1743.953,557.5106,0,
1715.999,459.7728,0,
1760.759,528.0963,0,
1798.679,440.7779,0,
1914.089,494.7503,0,
6128.068,525.207,1,
1668.288,464.7157,0,
1834.463,539.03,0,
1812.006,485.1619,0,
1925.235,434.3464,0,
1852.227,473.6418,0,
1839.477,522.9816,0,
1796.896,521.4259,0,
1987.732,511.5506,0,
1756.545,507.812,0,
1804.862,458.121,0,
1799.978,512.6003,0,
1783.436,495.8679,0,
1780.402,538.3419,0,
1905.383,479.2881,0,
1830.092,470.8519,0,
1729.55,520.7708,0,
1934.878,488.9001,0,
1788.937,544.6365,0,
1789.229,427.5976,0,
1794.316,495.4771,0,
1730.06,485.9542,0,
1741.872,483.0621,0,
1772.263,496.7544,0,
1727.134,470.2366,0,
1886.734,506.768,0,
1796.905,530.8961,0,
1757.478,510.5552,0,
1896.706,477.9515,0,
1816.904,536.719,0,
1839.479,544.7794,0,
1799.029,505.7975,0,
1734.642,434.4631,0,
1957.133,511.7157,0,
1706.281,475.7079,0,
1901.626,508.9119,0,
1787.002,465.0991,0,
1740.337,534.2499,0,
1749.99,485.4929,0,
1717.249,547.4159,0,
1900.798,459.4916,0,
1746.87,492.502,0,
5800.644,503.5627,1,
1787.675,540.9388,0,
1720.579,521.6676,0,
1791.518,517.1359,0,
1815.764,490.4088,0,
1740.631,515.6031,0,
1767.222,467.3836,0,
1855.002,533.2563,0,
1793.438,466.151,0,
1754.484,564.5929,0,
1952.674,476.6107,0,
1813.34,507.915,0,
1676.406,533.8329,0,
1763.378,511.4476,0,
1923.509,490.0428,0,
1985.93,499.4844,0,
1788.009,514.7576,0,
1783.539,470.9428,0,
1844.193,485.8191,0,
5913.304,501.1594,1,
1830.781,437.5028,0,
1767.789,455.5898,0,
1910.591,509.2731,0,
1979.179,439.4843,0,
1789.784,469.8035,0,
1973.645,501.5604,0,
1945.208,429.7112,0,
1802.881,469.7682,0,
1903.748,444.7159,0,
1655.007,504.3901,0,
1748.539,519.818,0,
1767.693,533.4625,0,
1786.632,430.0997,0,
1759.035,516.8762,0,
1883.317,522.0343,0,
1851.857,474.4885,0,
1815.234,422.6614,0,
1725.321,541.6651,0,
1895.805,470.8885,0,
1898.338,486.7175,0,
1847.906,466.1534,0,
1782.957,508.9086,0,
1730.333,451.712,0,
1760.042,528.8358,0,
1757.858,484.9998,0,
1774.815,462.6493,0,
1745.633,497.1242,0,
1755.398,518.4434,0,
1787.57,452.6227,0,
1786.67,464.4308,0,
2186.424,447.877,0,
1842.754,485.4064,0,
1740.902,509.7245,0,
1735.879,519.5515,0,
1758.653,504.8302,0,
1923.579,502.559,0,
1943.504,479.1886,0,
1803.481,456.9958,0,
1797.602,447.0314,0,
1776.533,504.886,0,
1816.053,441.5936,0,
1823.877,424.4879,0,
1776.168,489.2174,0,
1805.337,475.4823,0,
1719.067,501.8326,0,
1842.505,476.7254,0,
1753.166,508.1287,0,
1830.003,488.6595,0,
1738.541,526.7878,0,
1721.701,459.9525,0,
1759.307,527.6693,0,
1783.25,470.6163,0,
1727.948,477.7628,0,
1767.913,483.2318,0,
2023.101,479.5162,0,
1743.871,472.1785,0,
1862.217,529.2046,0,
1686.563,518.3832,0,
1691.098,515.7008,0,
2084.009,568.7856,0,
1765.493,502.2896,0,
1899.18,505.5115,0,
1916.701,556.6224,0,
1770.372,475.7435,0,
1806.295,493.6954,0,
1905.921,528.3999,0,
1713.308,519.948,0,
1862.81,541.5048,0,
2033.859,518.7922,0,
1725.131,527.4879,0,
1800.011,545.3889,0,
1873.902,512.3204,0,
1970.27,537.3863,0,
1742.601,508.1251,0,
1808.262,469.8124,0,
1942.375,598.1928,0,
1750.572,479.8035,0,
1814.212,463.2022,0,
1913.236,548.1005,0,
1758.415,419.609,0,
1956.128,488.0777,0,
1753.399,414.0212,0,
1708.004,467.0487,0,
1873.637,473.2875,0,
1842.868,523.0558,0,
1880.32,483.7427,0,
1724.253,469.9216,0,
1741.177,527.834,0,
1951.907,499.8401,0,
1903.94,484.9167,0,
1848.312,512.2877,0,
1722.327,537.6715,0,
1861.64,543.8849,0,
1860.288,540.0296,0,
1891.876,500.8135,0,
1746.564,455.568,0,
1762.011,463.5613,0,
6022.979,548.4609,1,
1873.931,515.5886,0,
1769.41,516.0165,0,
1773.835,542.2189,0,
1849.892,578.1897,0,
1869.316,506.2284,0,
1895.346,466.027,0,
1926.08,524.8539,0,
1786.479,468.0659,0,
1716.598,477.8923,0,
1919.618,427.4694,0,
1738.779,506.9658,0,
1735.108,516.0972,0,
1816.469,543.0298,0,
1817.933,466.3678,0,
1974.379,465.6744,0,
1870.827,516.0663,0,
1759.259,495.1623,0,
1878.57,499.5206,0,
1809.911,474.1782,0,
1698.968,525.7045,0,
1967.682,487.8274,0,
1874.899,499.7482,0,
1834.81,457.1708,0,
1795.36,517.925,0,
1915.629,463.5516,0,
1878.706,487.8428,0,
1893.168,547.7612,0,
1783.503,466.6964,0,
1794.911,507.6723,0,
1811.807,555.0854,0,
1796.885,504.9093,0,
1801.989,472.3686,0,
1820.687,568.3188,0,
1801.948,563.2183,0,
5752.752,493.9282,1,
1862.469,521.361,0,
1902.177,536.5801,0,
1731.512,460.6975,0,
1930.735,505.1132,0,
1852.755,479.2587,0,
1721.978,482.6845,0,
1888.983,531.0139,0,
2012.178,464.4717,0,
1729.317,543.1433,0,
1709.542,499.9805,0,
1721.964,548.3999,0,
5863.053,543.7192,1,
1678.195,564.8438,0,
1661.83,520.4107,0,
1764.092,494.8013,0,
1783.414,454.4363,0,
1744.76,506.3879,0,
1899.021,496.1331,0,
1717.205,446.871,0,
1871.258,574.6265,0,
1932.857,500.694,0,
1756.995,549.104,0,
1713.74,529.3667,0,
1824.909,453.0894,0,
1930.326,482.0452,0,
1937.124,471.2025,0,
1857.767,504.3091,0,
1686.149,496.6837,0,
1743.713,542.8931,0,
1777.943,511.5197,0,
1784.714,470.9705,0,
1680.587,506.1658,0,
1938.301,479.4583,0,
1738.086,511.1483,0,
1722.193,533.9851,0,
1725.173,491.8408,0,
1968.029,496.0104,0,
1749.054,470.9114,0,
1737.724,511.5134,0,
1780.616,469.6282,0,
1782.135,461.2499,0,
1873.179,511.7795,0,
1743.269,430.1234,0,
1783.262,482.0468,0,
1777.67,497.6343,0,
1895.88,552.8739,0,
1781.996,481.7339,0,
1928.254,493.5814,0,
1841.692,476.2989,0,
1724.001,486.4225,0,
1801.048,487.2924,0,
1712.035,538.4929,0,
1925.789,485.4086,0,
5952.627,560.0161,1,
1810.912,483.5868,0,
1944.177,517.2472,0,
1823.52,531.4126,0,
1797.38,507.8561,0,
1926.062,527.4399,0,
1872.119,500.1686,0,
1850.426,535.6935,0,
1794.969,491.5599,0,
1767.231,555.1905,0,
1845.695,504.3882,0,
1801.869,518.1998,0,
1962.222,484.1462,0,
1854.844,497.2059,0,
1938.099,524.3622,0,
1790.43,513.9731,0,
1769.839,494.5143,0,
1883.512,495.6955,0,
1767.958,474.682,0,
1819.924,522.532,0,
1759.719,509.6704,0,
1796.947,540.9061,0,
1784.557,511.6776,0,
1966.136,476.6672,0,
1772.617,527.3393,0,
1999.522,479.8978,0,
1692.506,589.5064,0,
1771.53,509.6829,0,
1965.755,547.0572,0,
1811.505,514.7471,0,
1688.731,482.9324,0,
1697.102,462.4611,0,
1757.778,485.8365,0,
1837.519,516.8011,0,
1807.577,490.981,0,
1973.315,449.6292,0,
1861.578,521.7762,0,
1967.862,507.238,0,
1923.35,506.9856,0,
1901.186,474.7153,0,
1778.492,432.9302,0,
1928.506,499.3818,0,
1870.266,493.9191,0,
1766.421,493.6284,0,
1820.211,524.5359,0,
1755.259,488.1896,0,
2004.678,532.9685,0,
1766.344,495.5257,0,
1702.954,504.7316,0,
2001.646,523.6571,0,
1965.875,480.4969,0,
1740.391,488.6815,0,
5834.638,559.9539,1,
1761.903,456.1991,0,
1717.278,447.0278,0,
1678.253,540.0234,0,
1776.445,464.7518,0,
1808.771,469.2554,0,
1832.828,467.2357,0,
1784.082,539.0714,0,
1804.779,528.3766,0,
1754.296,509.7792,0,
1791.255,485.9003,0,
1784.859,469.7243,0,
1725.863,522.5281,0,
1837.49,542.42,0,
1947.337,500.6959,0,
1684.847,545.6304,0,
1734.191,548.1307,0,
1700.674,496.3322,0,
1683.382,471.9072,0,
1714.796,495.5876,0,
1782.564,533.1592,0,
1750.711,453.4235,0,
2041.839,537.7335,0,
1827.904,464.4778,0,
1926.694,488.0519,0,
1830,439.2746,0,
1761.017,520.1171,0,
1950.586,522.7035,0,
1814.984,472.6627,0,
1821.926,416.2799,0,
1834.485,497.0969,0,
1706.508,493.8732,0,
1960.867,492.7776,0,
1815.716,519.5065,0,
1773.831,537.5049,0,
1759.221,512.4738,0,
1768.54,477.0068,0,
1772.985,497.8769,0,
1717.125,477.7204,0,
1807.222,448.5137,0,
1839.943,459.2678,0,
1872.351,513.204,0,
1890.291,551.2601,0,
1924.794,531.6638,0,
1786.091,468.0917,0,
1783.89,526.1022,0,
1736.503,427.1403,0,
1767.003,502.5023,0,
1939.872,484.0125,0,
1751.242,494.3264,0,
1702.404,485.3632,0,
1819.257,453.7012,0,
1845.071,437.648,0,
1738.19,467.1031,0,
1823.353,479.9056,0,
1743.158,554.184,0,
1845.178,524.0662,0,
1847.028,448.4236,0,
1745.952,439.5132,0,
1869.142,484.0876,0,
1889.053,502.2119,0,
1901.19,471.6484,0,
1832.967,447.256,0,
1928.524,477.9078,0,
1799.914,518.4086,0,
1877.112,511.4691,0,
1773.209,496.7084,0,
1782.796,463.9318,0,
1794.715,509.5461,0,
1940.919,480.7234,0,
1789.208,533.6725,0,
1811.455,489.61,0,
1753.011,511.9263,0,
1729.874,507.3607,0,
1934.981,493.0342,0,
1818.395,510.6066,0,
1799.593,516.8683,0,
1931.09,511.944,0,
1791.08,446.4123,0,
1686.352,518.6524,0,
1761.832,467.1426,0,
1803.13,450.1546,0,
1798.133,536.0387,0,
1913.036,504.9151,0,
1777.823,498.0535,0,
1787.632,535.7557,0,
1768.963,425.6387,0,
1761.598,434.502,0,
1874.811,484.4786,0,
1799.275,481.4083,0,
1772.29,481.4547,0,
1947.236,503.1086,0,
1835.61,571.7,0,
1761.113,499.0337,0,
1796.225,560.3574,0,
1833.73,547.2996,0,
1759.16,484.1598,0,
1759.067,483.7183,0,
1741.705,515.3702,0,
1806.565,541.3665,0,
1871.153,462.07,0,
1875.577,503.6473,0,
1891.351,569.8165,0,
1793.353,506.0457,0,
1777.448,430.4677,0,
1778.469,446.574,0,
1942.866,480.452,0,
1761.944,515.0977,0,
1804.127,513.4651,0,
1780.148,480.1708,0,
2018.059,410.7476,0,
1823.576,506.2528,0,
1755.832,508.0255,0,
1975.207,450.0246,0,
1874.321,506.2491,0,
1794.992,497.5941,0,
1772.813,492.7675,0,
1765.508,470.9629,0,
1895.499,501.3133,0,
1871.98,454.7072,0,
1866.919,473.9026,0,
1996.717,577.0538,0,
1836.417,518.7746,0,
1763.817,470.7855,0,
1957.306,462.8003,0,
1808.682,506.9979,0,
1719.071,510.9024,0,
1767.963,459.983,0,
1696.341,509.1009,0,
1774.399,546.2127,0,
1786.143,484.9352,0,
1716.991,548.6066,0,
1860.832,468.5591,0,
1752.926,484.0679,0,
1868.606,518.1618,0,
1771.864,474.1548,0,
1811.759,475.3486,0,
1911.681,486.2491,0,
1751.498,508.2719,0,
1788.263,512.6893,0,
1944.41,453.5845,0,
1746.684,445.0488,0,
1836.297,508.7182,0,
1930.517,497.0688,0,
1854.361,497.4393,0,
1710.015,519.0631,0,
1884.419,493.3535,0,
1931.27,527.0354,0,
1887.552,454.5521,0,
1960.509,504.6657,0,
1783.122,442.4106,0,
1861.401,457.4344,0,
1933.878,522.8165,0,
1938.006,491.6138,0,
1805.373,466.6015,0,
1769.624,515.2645,0,
1776.927,462.0477,0,
1799.632,473.8831,0,
1778.885,546.5136,0,
1851.396,514.0409,0,
6275.86,587.3794,1,
1758.513,515.3204,0,
1982.752,456.1266,0,
1965.871,480.1187,0,
1870.792,497.9264,0,
1807.229,452.3029,0,
1845.807,546.8238,0,
1749.303,530.7444,0,
6075.533,498.9719,1,
1740.895,551.1317,0,
1794.54,482.0543,0,
5989.472,389.5137,1,
1716.896,538.199,0,
1951.858,532.1262,0,
1734.773,525.6935,0,
1784.759,448.2333,0,
5879.711,424.6404,1,
1742.232,558.8118,0,
1790.31,459.7164,0,
1914.606,446.299,0,
1712.514,496.5292,0,
1766.479,509.3909,0,
1787.767,518.9999,0,
1984.145,505.548,0,
1976.266,441.5734,0,
1807.097,559.8737,0,
1663.351,475.6705,0,
1974.786,498.8679,0,
1783.516,501.0745,0,
2006.22,537.3102,0,
1622.947,516.4799,0,
1793.944,447.0849,0,
1815.367,518.3025,0,
1870.105,463.537,0,
1774.5,517.431,0,
1874.832,490.4354,0,
1814.264,510.3694,0,
1808.379,496.6726,0,
1749.959,538.0314,0,
1949.509,507.9587,0,
1867.305,570.5331,0,
1738.607,493.9478,0,
1741.939,520.4263,0,
1882.866,517.6083,0,
1762.075,489.9052,0,
1954.451,489.8475,0,
1778.361,484.1227,0,
1787.154,502.381,0,
1723.733,480.0695,0,
1837.09,480.9202,0,
1884.165,498.6801,0,
1669.74,497.5632,0,
1840.158,498.1714,0,
1694.144,515.5778,0,
1751.225,508.9816,0,
1662.661,537.299,0,
1794.882,484.4277,0,
1792.608,486.4587,0,
1864.418,518.3141,0,
1695.512,486.1849,0,
1895.216,492.5337,0,
1785.617,529.4047,0,
1809.921,533.5156,0,
1861.909,488.1285,0,
1965.647,482.56,0,
1813.488,442.0156,0,
1725.945,483.2255,0,
1762.449,500.7828,0,
1733.229,508.1782,0,
1707.623,491.1019,0,
1789.6,539.3996,0,
1780.197,524.1398,0,
1899.667,445.0685,0,
1926.6,522.9056,0,
1790.038,502.4227,0,
1693.992,490.6068,0,
1871.477,529.9633,0,
1735.177,503.0496,0,
1805.894,543.5208,0,
1759.289,520.4,0,
1788.585,445.2004,0,
1760.296,499.179,0,
1748.858,519.4959,0,
1842.241,514.7966,0,
1759.678,492.6659,0,
1869.051,558.8782,0,
1879.701,471.4358,0,
1796.095,505.3422,0,
1704.599,465.2352,0,
1712.335,537.8964,0,
1799.217,538.4034,0,
1950.52,525.8184,0,
1848.398,493.5598,0,
1785.126,441.599,0,
1829.171,467.2867,0,
1686.687,518.1055,0,
1701.653,431.9747,0,
1943.609,526.8943,0,
